"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3262","Негативный тест: получение информации о не существующей билд конфигурации","","Sat Mar 14 05:11:47 UTC 2026","passed","Sat Mar 14 05:11:50 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoAboutNotExistBuildTypeTest"
"","1924","shouldProvideListOfAvailableAgents(CreateUserResponse)","","Sat Mar 14 05:11:57 UTC 2026","passed","Sat Mar 14 05:11:59 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldProvideListOfAvailableAgents"
"","181","shouldReturnNotFoundForNonexistentAgent(CreateUserResponse)","","Sat Mar 14 05:11:57 UTC 2026","passed","Sat Mar 14 05:11:57 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnNotFoundForNonexistentAgent"
"","1725","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Sat Mar 14 05:11:56 UTC 2026","passed","Sat Mar 14 05:11:58 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","39128","Позитивный тест: созданный по API проект отображается на UI","","Sat Mar 14 05:12:08 UTC 2026","passed","Sat Mar 14 05:12:47 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","createdProjectShouldBeVisibleOnUiTest"
"","572","Позитивный тест: обновление параметра name проекта","","Sat Mar 14 05:11:55 UTC 2026","passed","Sat Mar 14 05:11:56 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userUpdateProjectNameTest"
"","28295","Негативный тест: для несуществующего проекта в поиске sidebar отображается предложение создать проект","","Sat Mar 14 05:12:05 UTC 2026","passed","Sat Mar 14 05:12:34 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","nonexistentProjectShouldSuggestCreateProjectInSidebarTest"
"","2906","shouldAuthorizeOrUnauthorizeAgentById(String, String, CreateUserResponse, Agent[]) [1] bodyMessage=false, responseText=false","","Sat Mar 14 05:11:50 UTC 2026","passed","Sat Mar 14 05:11:52 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldAuthorizeOrUnauthorizeAgentById"
"","1","userCanGetInfoAboutQueuedBuildById(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 05:11:47 UTC 2026","skipped","Sat Mar 14 05:11:47 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanGetInfoAboutQueuedBuildById"
"","2045","shouldProvideInfoAboutAgentById(CreateUserResponse, Agent[])","","Sat Mar 14 05:11:56 UTC 2026","passed","Sat Mar 14 05:11:58 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldProvideInfoAboutAgentById"
"","2076","shouldReturnListOfAuthorizedAgents(CreateUserResponse, Agent[])","","Sat Mar 14 05:11:55 UTC 2026","passed","Sat Mar 14 05:11:57 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfAuthorizedAgents"
"","366","Позитивный тест: получение информации о проекте по id","","Sat Mar 14 05:11:56 UTC 2026","passed","Sat Mar 14 05:11:56 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectByIdTest"
"","0","userCanCancelStartedBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 05:11:47 UTC 2026","skipped","Sat Mar 14 05:11:47 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanCancelStartedBuild"
