"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Получение всех рутов","","Sat Mar 14 04:50:08 UTC 2026","skipped","Sat Mar 14 04:50:08 UTC 2026","","api.VCSRootTest","api.VCSRootTest","getAllRoots"
"","2","sampleUiTest(CreateUserResponse)","","Sat Mar 14 04:50:20 UTC 2026","skipped","Sat Mar 14 04:50:20 UTC 2026","","ui.sample.SampleUiTest","ui.sample.SampleUiTest","sampleUiTest"
"","2306","shouldReturnListOfUnauthorizedAgents(CreateUserResponse, Agent[])","","Sat Mar 14 04:50:10 UTC 2026","passed","Sat Mar 14 04:50:12 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfUnauthorizedAgents"
"","1","sampleUiTest4(CreateUserResponse)","","Sat Mar 14 04:50:20 UTC 2026","skipped","Sat Mar 14 04:50:20 UTC 2026","","ui.sample.SampleUiTest","ui.sample.SampleUiTest","sampleUiTest4"
"","394","Позитивный тест: получение информации о проекте по id","","Sat Mar 14 04:50:10 UTC 2026","passed","Sat Mar 14 04:50:11 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectByIdTest"
"","1231","shouldDeleteExistingStepById(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 04:50:08 UTC 2026","passed","Sat Mar 14 04:50:10 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldDeleteExistingStepById"
"","2501","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [1] bodyMessage=false, responseText=false","","Sat Mar 14 04:50:08 UTC 2026","passed","Sat Mar 14 04:50:11 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","49786","userCanCreateBuildTypeTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 04:50:22 UTC 2026","failed","Sat Mar 14 04:51:12 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanCreateBuildTypeTest"
"","2353","shouldReturnListOfAuthorizedAgents(CreateUserResponse, Agent[])","","Sat Mar 14 04:50:09 UTC 2026","passed","Sat Mar 14 04:50:11 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfAuthorizedAgents"
"","2339","shouldProvideInfoAboutAgentById(CreateUserResponse, Agent[])","","Sat Mar 14 04:50:10 UTC 2026","passed","Sat Mar 14 04:50:12 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldProvideInfoAboutAgentById"
"","1","shouldDeleteExistingUser(CreateUserResponse)","","Sat Mar 14 04:50:01 UTC 2026","skipped","Sat Mar 14 04:50:01 UTC 2026","","api.sample.UserManagementTest","api.sample.UserManagementTest","shouldDeleteExistingUser"
"","3123","shouldAuthorizeOrUnauthorizeAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Sat Mar 14 04:50:07 UTC 2026","passed","Sat Mar 14 04:50:10 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldAuthorizeOrUnauthorizeAgentById"
"","5052","userCanAccessServerInfoUsingBaseAuth(CreateUserResponse)","","Sat Mar 14 04:50:01 UTC 2026","passed","Sat Mar 14 04:50:06 UTC 2026","","api.LoginTest","api.LoginTest","userCanAccessServerInfoUsingBaseAuth"
"","829","Позитивный тест: получение информации о созданной билд конфигурации","","Sat Mar 14 04:50:08 UTC 2026","passed","Sat Mar 14 04:50:09 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoBuildTypeTest"
