"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43071","userCantCreateBuildStepWithSameIdTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 09:33:05 UTC 2026","failed","Sat Mar 14 09:33:48 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCantCreateBuildStepWithSameIdTest"
"","127","shouldReturnNotFoundForNonexistentAgent(CreateUserResponse)","","Sat Mar 14 09:33:00 UTC 2026","passed","Sat Mar 14 09:33:00 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnNotFoundForNonexistentAgent"
"","5228","shouldCreateStepForExistingBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 09:32:51 UTC 2026","passed","Sat Mar 14 09:32:56 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldCreateStepForExistingBuild"
"","544","Позитивный тест: получение информации о созданной билд конфигурации","","Sat Mar 14 09:32:58 UTC 2026","passed","Sat Mar 14 09:32:58 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoBuildTypeTest"
"","572","Позитивный тест: получение списка проектов","","Sat Mar 14 09:32:57 UTC 2026","passed","Sat Mar 14 09:32:58 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectsListTest"
"","1998","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Sat Mar 14 09:32:59 UTC 2026","passed","Sat Mar 14 09:33:01 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","367","Негативный тест: удаление несуществующего проекта","","Sat Mar 14 09:32:56 UTC 2026","passed","Sat Mar 14 09:32:57 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userDeleteNotExistProjectTest"
"","1","shouldDeleteExistingUser(CreateUserResponse)","","Sat Mar 14 09:32:51 UTC 2026","skipped","Sat Mar 14 09:32:51 UTC 2026","","api.sample.UserManagementTest","api.sample.UserManagementTest","shouldDeleteExistingUser"
"","3047","Негативный тест: получение информации о не существующей билд конфигурации","","Sat Mar 14 09:32:51 UTC 2026","passed","Sat Mar 14 09:32:54 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoAboutNotExistBuildTypeTest"
"","41294","userCanCreateBuildTypeTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 09:33:07 UTC 2026","failed","Sat Mar 14 09:33:49 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanCreateBuildTypeTest"
"","1805","shouldReturnListOfDisabledAgents(CreateUserResponse, Agent[])","","Sat Mar 14 09:32:59 UTC 2026","passed","Sat Mar 14 09:33:01 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfDisabledAgents"
"","452","Позитивный тест: обновление параметра name проекта","","Sat Mar 14 09:32:58 UTC 2026","passed","Sat Mar 14 09:32:59 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userUpdateProjectNameTest"
"","43711","userCanNotCreateBuildTypeWithEmptyNameTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 09:33:07 UTC 2026","failed","Sat Mar 14 09:33:51 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanNotCreateBuildTypeWithEmptyNameTest"
"","528","Создание нового рута","","Sat Mar 14 09:32:56 UTC 2026","passed","Sat Mar 14 09:32:57 UTC 2026","","api.VCSRootTest","api.VCSRootTest","createNewRoot"
"","422","Позитивный тест: получение информации о списке созданных билд конфигураций","","Sat Mar 14 09:32:59 UTC 2026","passed","Sat Mar 14 09:33:00 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoBuildTypeListTest"
"","0","buildSampleTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 09:32:51 UTC 2026","skipped","Sat Mar 14 09:32:51 UTC 2026","","api.sample.SampleTest","api.sample.SampleTest","buildSampleTest"
"","2532","shouldAuthorizeOrUnauthorizeAgentById(String, String, CreateUserResponse, Agent[]) [2] bodyMessage=true, responseText=true","","Sat Mar 14 09:32:56 UTC 2026","passed","Sat Mar 14 09:32:59 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldAuthorizeOrUnauthorizeAgentById"
"","135","Негативный тест: удаление несуществующей билд конфигурации","","Sat Mar 14 09:32:59 UTC 2026","passed","Sat Mar 14 09:32:59 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteNotExistBuildTypeTest"
"","0","Получение всех рутов","","Sat Mar 14 09:32:57 UTC 2026","skipped","Sat Mar 14 09:32:57 UTC 2026","","api.VCSRootTest","api.VCSRootTest","getAllRoots"
"","2644","Негативный тест: создание билд конфигурации с именем уже созданной конфигурации","","Sat Mar 14 09:32:55 UTC 2026","passed","Sat Mar 14 09:32:58 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userCanNotCreateBuildTypeWithSameNameTest"
"","338","Позитивный тест: получение информации о проекте по id","","Sat Mar 14 09:32:59 UTC 2026","passed","Sat Mar 14 09:32:59 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectByIdTest"
