"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Получение всех рутов","","Sat Mar 14 18:51:21 UTC 2026","skipped","Sat Mar 14 18:51:21 UTC 2026","","api.VCSRootTest","api.VCSRootTest","getAllRoots"
"","1","userCanCreateBuildTypeTest(CreateUserResponse, ProjectResponse)","","Sat Mar 14 18:51:06 UTC 2026","skipped","Sat Mar 14 18:51:06 UTC 2026","","ui.ManageBuildTypeTest","ui.ManageBuildTypeTest","userCanCreateBuildTypeTest"
"","36523","shouldAuthorizeOrUnauthorizeAgentById(String, String, CreateUserResponse, Agent[]) [1] bodyMessage=false, responseText=false","","Sat Mar 14 18:51:10 UTC 2026","passed","Sat Mar 14 18:51:47 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldAuthorizeOrUnauthorizeAgentById"
"","38085","Позитивный тест: созданный по API проект отображается на UI","","Sat Mar 14 18:51:11 UTC 2026","passed","Sat Mar 14 18:51:49 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","createdProjectShouldBeVisibleOnUiTest"
"","1037","Позитивный тест: создание проекта","","Sat Mar 14 18:51:21 UTC 2026","passed","Sat Mar 14 18:51:22 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userCreateProjectTest"
"","3875","Создание одинакового рута","","Sat Mar 14 18:51:17 UTC 2026","passed","Sat Mar 14 18:51:21 UTC 2026","","api.VCSRootTest","api.VCSRootTest","createDuplicateVcsRoot"
"","980","shouldNotBeAbleToEnableAgentWithoutPermissions(CreateUserResponse)","","Sat Mar 14 18:51:45 UTC 2026","passed","Sat Mar 14 18:51:46 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldNotBeAbleToEnableAgentWithoutPermissions"
"","245","Негативная проверка прав пользователя","","Sat Mar 14 18:51:19 UTC 2026","passed","Sat Mar 14 18:51:20 UTC 2026","","api.UsersPermissionsTest","api.UsersPermissionsTest","getPermissionsWithInvalidId"
"","3","userCanDisableAgent(CreateUserResponse, Agent[])","","Sat Mar 14 18:51:06 UTC 2026","skipped","Sat Mar 14 18:51:06 UTC 2026","","ui.AgentsTest","ui.AgentsTest","userCanDisableAgent"
"","1358","Позитивный тест: получение информации о списке созданных билд конфигураций","","Sat Mar 14 18:51:20 UTC 2026","passed","Sat Mar 14 18:51:22 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userGetInfoBuildTypeListTest"
"","727","Позитивный тест: получение информации о проекте по id","","Sat Mar 14 18:51:26 UTC 2026","passed","Sat Mar 14 18:51:27 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userGetProjectByIdTest"
"","2","userCanGetInfoAboutQueuedBuildById(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 18:51:06 UTC 2026","skipped","Sat Mar 14 18:51:06 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanGetInfoAboutQueuedBuildById"
"","44870","userCanCreateBuildStepTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 18:51:06 UTC 2026","broken","Sat Mar 14 18:51:51 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCanCreateBuildStepTest"
"","402","Негативный тест: удаление несуществующей билд конфигурации","","Sat Mar 14 18:51:22 UTC 2026","passed","Sat Mar 14 18:51:22 UTC 2026","","api.ManageBuildTypeTest","api.ManageBuildTypeTest","userDeleteNotExistBuildTypeTest"
"","831","Позитивный тест: удаление проекта","","Sat Mar 14 18:51:23 UTC 2026","passed","Sat Mar 14 18:51:24 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userDeleteProjectTest"
"","2557","shouldReturnZeroBuildStepsInNewlyCreatedBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 18:51:12 UTC 2026","passed","Sat Mar 14 18:51:15 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldReturnZeroBuildStepsInNewlyCreatedBuild"
"","0","userCantCreateBuildStepWithSameIdTest(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 18:51:06 UTC 2026","skipped","Sat Mar 14 18:51:06 UTC 2026","","ui.BuildStepsTest","ui.BuildStepsTest","userCantCreateBuildStepWithSameIdTest"
"","35997","Негативный тест: для несуществующего проекта в поиске sidebar отображается предложение создать проект","","Sat Mar 14 18:51:06 UTC 2026","passed","Sat Mar 14 18:51:42 UTC 2026","","ui.ProjectsUITest","ui.ProjectsUITest","nonexistentProjectShouldSuggestCreateProjectInSidebarTest"
"","1054","Позитивный тест: обновление параметра name проекта","","Sat Mar 14 18:51:25 UTC 2026","passed","Sat Mar 14 18:51:26 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userUpdateProjectNameTest"
"","9986","shouldReturnListOfDisabledAgents(CreateUserResponse, Agent[])","","Sat Mar 14 18:51:42 UTC 2026","passed","Sat Mar 14 18:51:52 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfDisabledAgents"
"","785","Негативный тест: создание проекта с тем же id","","Sat Mar 14 18:51:25 UTC 2026","passed","Sat Mar 14 18:51:25 UTC 2026","","api.ProjectManagementTest","api.ProjectManagementTest","userCanNotCreateProjectWithSameIdTest"
"","4953","userCanAccessServerInfoUsingBaseAuth(CreateUserResponse)","","Sat Mar 14 18:51:12 UTC 2026","passed","Sat Mar 14 18:51:17 UTC 2026","","api.LoginTest","api.LoginTest","userCanAccessServerInfoUsingBaseAuth"
"","0","userCanGetInfoAboutAllQueuedBuildWithEmptyQueue(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 18:51:06 UTC 2026","skipped","Sat Mar 14 18:51:06 UTC 2026","","api.BuildQueueTest","api.BuildQueueTest","userCanGetInfoAboutAllQueuedBuildWithEmptyQueue"
"","11928","shouldCreateStepForExistingBuild(CreateUserResponse, ProjectResponse, CreateBuildTypeResponse)","","Sat Mar 14 18:51:08 UTC 2026","passed","Sat Mar 14 18:51:20 UTC 2026","","api.BuildStepsTest","api.BuildStepsTest","shouldCreateStepForExistingBuild"
"","23260","shouldDisableOrEnableAgentById(String, String, CreateUserResponse, Agent[]) [1] bodyMessage=false, responseText=false","","Sat Mar 14 18:51:26 UTC 2026","passed","Sat Mar 14 18:51:49 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldDisableOrEnableAgentById"
"","0","Получение всех пользователей","","Sat Mar 14 18:51:20 UTC 2026","skipped","Sat Mar 14 18:51:20 UTC 2026","","api.UsersPermissionsTest","api.UsersPermissionsTest","getListOfUsers"
"","23772","shouldReturnListOfAuthorizedAgents(CreateUserResponse, Agent[])","","Sat Mar 14 18:51:26 UTC 2026","passed","Sat Mar 14 18:51:50 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfAuthorizedAgents"
"","3477","Негативная проверка роли пользователя","","Sat Mar 14 18:51:17 UTC 2026","passed","Sat Mar 14 18:51:20 UTC 2026","","api.UsersPermissionsTest","api.UsersPermissionsTest","getRoleWithInvalidId"
"","26099","shouldReturnListOfEnabledAgents(CreateUserResponse, Agent[])","","Sat Mar 14 18:51:22 UTC 2026","passed","Sat Mar 14 18:51:48 UTC 2026","","api.AgentsTest","api.AgentsTest","shouldReturnListOfEnabledAgents"
"","654","Проверка роли пользователя","","Sat Mar 14 18:51:20 UTC 2026","passed","Sat Mar 14 18:51:21 UTC 2026","","api.UsersPermissionsTest","api.UsersPermissionsTest","checkRoleForUser"
